"Пост коды","Күні","Мағынасы"
"13221","2007-03-26","-"
"13221","2007-03-27","-"
"13221","2007-03-28","-"
"13221","2007-03-29","-"
"13221","2007-03-30","-"
"13221","2007-03-31","-"
"13221","2007-04-01","нб"
"13221","2007-04-02","нб"
"13221","2007-04-03","нб"
"13221","2007-04-04","нб"
"13221","2007-04-05","нб"
"13221","2007-04-06","нб"
"13221","2007-04-07","нб"
"13221","2007-04-08","нб"
"13221","2007-04-09","нб"
"13221","2007-04-10","нб"
"13221","2007-04-11","нб"
"13221","2007-04-12","43.7"
"13221","2007-04-13","87.3"
"13221","2007-04-14","131"
"13221","2007-04-15","263"
"13221","2007-04-16","168"
"13221","2007-04-17","128"
"13221","2007-04-18","139"
"13221","2007-04-19","98.4"
"13221","2007-04-20","67.4"
"13221","2007-04-21","50.1"
"13221","2007-04-22","41"
"13221","2007-04-23","34.3"
"13221","2007-04-24","27.1"
"13221","2007-04-25","25.8"
"13221","2007-04-26","24.1"
"13221","2007-04-27","21.2"
"13221","2007-04-28","18.5"
"13221","2007-04-29","15.9"
"13221","2007-04-30","13.5"
"13221","2007-05-01","11.8"
"13221","2007-05-02","11"
"13221","2007-05-03","9.5"
"13221","2007-05-04","8.8"
"13221","2007-05-05","8.1"
"13221","2007-05-06","7.4"
"13221","2007-05-07","6.41"
"13221","2007-05-08","6.41"
"13221","2007-05-09","5.52"
"13221","2007-05-10","4.93"
"13221","2007-05-11","4.93"
"13221","2007-05-12","4.64"
"13221","2007-05-13","4.64"
"13221","2007-05-14","4.05"
"13221","2007-05-15","4.05"
"13221","2007-05-16","3.75"
"13221","2007-05-17","3.48"
"13221","2007-05-18","2.94"
"13221","2007-05-19","2.67"
"13221","2007-05-20","2.25"
"13221","2007-05-21","2.1"
"13221","2007-05-22","1.79"
"13221","2007-05-23","1.79"
"13221","2007-05-24","1.64"
"13221","2007-05-25","1.48"
"13221","2007-05-26","1.31"
"13221","2007-05-27","1.17"
"13221","2007-05-28","0.93"
"13221","2007-05-29","0.85"
"13221","2007-05-30","0.85"
"13221","2007-05-31","0.85"
"13221","2007-06-01","0.8"
"13221","2007-06-02","0.8"
"13221","2007-06-03","0.8"
"13221","2007-06-04","0.76"
"13221","2007-06-05","0.76"
"13221","2007-06-06","0.72"
"13221","2007-06-07","0.69"
"13221","2007-06-08","0.69"
"13221","2007-06-09","0.65"
"13221","2007-06-10","0.62"
"13221","2007-06-11","0.62"
"13221","2007-06-12","0.58"
"13221","2007-06-13","0.58"
"13221","2007-06-14","0.55"
"13221","2007-06-15","0.53"
"13221","2007-06-16","0.51"
"13221","2007-06-17","0.48"
"13221","2007-06-18","0.46"
"13221","2007-06-19","0.44"
"13221","2007-06-20","0.4"
"13221","2007-06-21","0.4"
"13221","2007-06-22","0.36"
"13221","2007-06-23","0.28"
"13221","2007-06-24","0.27"
"13221","2007-06-25","0.27"
"13221","2007-06-26","0.27"
"13221","2007-06-27","0.28"
"13221","2007-06-28","0.28"
"13221","2007-06-29","0.28"
"13221","2007-06-30","0.28"
"13221","2007-07-01","0.28"
"13221","2007-07-02","0.28"
"13221","2007-07-03","0.3"
"13221","2007-07-04","0.3"
"13221","2007-07-05","0.32"
"13221","2007-07-06","0.34"
"13221","2007-07-07","0.34"
"13221","2007-07-08","0.34"
"13221","2007-07-09","0.32"
"13221","2007-07-10","0.32"
"13221","2007-07-11","0.32"
"13221","2007-07-12","0.34"
"13221","2007-07-13","0.34"
"13221","2007-07-14","0.34"
"13221","2007-07-15","0.34"
"13221","2007-07-16","0.34"
"13221","2007-07-17","0.32"
"13221","2007-07-18","0.32"
"13221","2007-07-19","0.32"
"13221","2007-07-20","0.32"
"13221","2007-07-21","0.32"
"13221","2007-07-22","0.32"
"13221","2007-07-23","0.32"
"13221","2007-07-24","0.32"
"13221","2007-07-25","0.32"
"13221","2007-07-26","0.32"
"13221","2007-07-27","0.32"
"13221","2007-07-28","0.3"
"13221","2007-07-29","0.3"
"13221","2007-07-30","0.3"
"13221","2007-07-31","0.3"
"13221","2007-08-01","0.3"
"13221","2007-08-02","0.58"
"13221","2007-08-03","0.55"
"13221","2007-08-04","0.51"
"13221","2007-08-05","0.44"
"13221","2007-08-06","0.32"
"13221","2007-08-07","нб"
"13221","2007-08-08","нб"
"13221","2007-08-09","нб"
"13221","2007-08-10","нб"
"13221","2007-08-11","нб"
"13221","2007-08-12","нб"
"13221","2007-08-13","нб"
"13221","2007-08-14","нб"
"13221","2007-08-15","нб"
"13221","2007-08-16","нб"
"13221","2007-08-17","нб"
"13221","2007-08-18","нб"
"13221","2007-08-19","нб"
"13221","2007-08-20","нб"
"13221","2007-08-21","нб"
"13221","2007-08-22","нб"
"13221","2007-08-23","нб"
"13221","2007-08-24","нб"
"13221","2007-08-25","нб"
"13221","2007-08-26","нб"
"13221","2007-08-27","нб"
"13221","2007-08-28","нб"
"13221","2007-08-29","нб"
"13221","2007-08-30","нб"
"13221","2007-08-31","нб"
"13221","2007-09-01","-"
"13221","2007-09-02","-"
"13221","2007-09-03","-"
"13221","2007-09-04","-"
"13221","2007-09-05","-"
"13221","2007-09-06","-"
"13221","2007-09-07","-"
"13221","2007-09-08","-"
"13221","2007-09-09","-"
"13221","2007-09-10","-"
"13221","2007-09-11","-"
"13221","2007-09-12","-"
"13221","2007-09-13","-"
"13221","2007-09-14","-"
"13221","2007-09-15","-"
"13221","2007-09-16","-"
"13221","2007-09-17","-"
"13221","2007-09-18","-"
"13221","2007-09-19","-"
"13221","2007-09-20","-"
"13221","2007-09-21","-"
"13221","2007-09-22","-"
"13221","2007-09-23","-"
"13221","2007-09-24","-"
"13221","2007-09-25","-"
"13221","2007-09-26","-"
"13221","2007-09-27","-"
"13221","2007-09-28","-"
"13221","2007-09-29","-"
"13221","2007-09-30","-"
"13221","2007-10-01","-"
"13221","2007-10-02","-"
"13221","2007-10-03","-"
"13221","2007-10-04","-"
"13221","2007-10-05","-"
"13221","2007-10-06","-"
"13221","2007-10-07","-"
"13221","2007-10-08","-"
"13221","2007-10-09","-"
"13221","2007-10-10","-"
"13221","2007-10-11","-"
"13221","2007-10-12","-"
"13221","2007-10-13","-"
"13221","2007-10-14","-"
"13221","2007-10-15","-"
"13221","2007-10-16","-"
"13221","2007-10-17","-"
"13221","2007-10-18","-"
"13221","2007-10-19","-"
"13221","2007-10-20","-"
"13221","2007-10-21","-"
"13221","2007-10-22","-"
"13221","2007-10-23","-"
"13221","2007-10-24","-"
"13221","2007-10-25","-"
"13221","2007-10-26","-"
"13221","2007-10-27","-"
"13221","2007-10-28","-"
"13221","2007-10-29","-"
"13221","2007-10-30","-"
"13221","2007-10-31","-"
"13221","2007-11-01","-"
"13221","2007-11-02","-"
"13221","2007-11-03","-"
"13221","2007-11-04","-"
"13221","2007-11-05","-"
"13221","2007-11-06","-"
"13221","2007-11-07","-"
"13221","2007-11-08","-"
"13221","2007-11-09","-"
"13221","2007-11-10","-"
"13221","2007-11-11","-"
"13221","2007-11-12","-"
"13221","2007-11-13","-"
"13221","2007-11-14","-"
"13221","2007-11-15","-"
"13221","2007-11-16","-"
"13221","2007-11-17","-"
"13221","2007-11-18","-"
"13221","2007-11-19","-"
"13221","2007-11-20","-"
"13221","2007-11-21","-"
"13221","2007-11-22","-"
"13221","2007-11-23","-"
"13221","2007-11-24","-"
"13221","2007-11-25","-"
"13221","2007-11-26","-"
"13221","2007-11-27","-"
"13221","2007-11-28","-"
"13221","2007-11-29","-"
"13221","2007-11-30","-"
"13221","2007-12-01","-"
"13221","2007-12-02","-"
"13221","2007-12-03","-"
"13221","2007-12-04","-"
"13221","2007-12-05","-"
"13221","2007-12-06","-"
"13221","2007-12-07","-"
"13221","2007-12-08","-"
"13221","2007-12-09","-"
"13221","2007-12-10","-"
"13221","2007-12-11","-"
"13221","2007-12-12","-"
"13221","2007-12-13","-"
"13221","2007-12-14","-"
"13221","2007-12-15","-"
"13221","2007-12-16","-"
"13221","2007-12-17","-"
"13221","2007-12-18","-"
"13221","2007-12-19","-"
"13221","2007-12-20","-"
"13221","2007-12-21","-"
"13221","2007-12-22","-"
"13221","2007-12-23","-"
"13221","2007-12-24","-"
"13221","2007-12-25","-"
"13221","2007-12-26","-"
"13221","2007-12-27","-"
"13221","2007-12-28","-"
"13221","2007-12-29","-"
"13221","2007-12-30","-"
"13221","2007-12-31","-"
"13221","2008-01-01","нб"
"13221","2008-01-02","нб"
"13221","2008-01-03","нб"
"13221","2008-01-04","нб"
"13221","2008-01-05","нб"
"13221","2008-01-06","нб"
"13221","2008-01-07","нб"
"13221","2008-01-08","нб"
"13221","2008-01-09","нб"
"13221","2008-01-10","нб"
"13221","2008-01-11","нб"
"13221","2008-01-12","нб"
"13221","2008-01-13","нб"
"13221","2008-01-14","нб"
"13221","2008-01-15","нб"
"13221","2008-01-16","нб"
"13221","2008-01-17","нб"
"13221","2008-01-18","нб"
"13221","2008-01-19","нб"
"13221","2008-01-20","нб"
"13221","2008-01-21","нб"
"13221","2008-01-22","нб"
"13221","2008-01-23","нб"
"13221","2008-01-24","нб"
"13221","2008-01-25","нб"
"13221","2008-01-26","нб"
"13221","2008-01-27","нб"
"13221","2008-01-28","нб"
"13221","2008-01-29","нб"
"13221","2008-01-30","нб"
"13221","2008-01-31","нб"
"13221","2008-02-01","нб"
"13221","2008-02-02","нб"
"13221","2008-02-03","нб"
"13221","2008-02-04","нб"
"13221","2008-02-05","нб"
"13221","2008-02-06","нб"
"13221","2008-02-07","нб"
"13221","2008-02-08","нб"
"13221","2008-02-09","нб"
"13221","2008-02-10","нб"
"13221","2008-02-11","нб"
"13221","2008-02-12","нб"
"13221","2008-02-13","нб"
"13221","2008-02-14","нб"
"13221","2008-02-15","нб"
"13221","2008-02-16","нб"
"13221","2008-02-17","нб"
"13221","2008-02-18","нб"
"13221","2008-02-19","нб"
"13221","2008-02-20","нб"
"13221","2008-02-21","нб"
"13221","2008-02-22","нб"
"13221","2008-02-23","нб"
"13221","2008-02-24","нб"
"13221","2008-02-25","нб"
"13221","2008-02-26","нб"
"13221","2008-02-27","нб"
"13221","2008-02-28","нб"
"13221","2008-02-29","нб"
"13221","2008-03-01","нб"
"13221","2008-03-02","нб"
"13221","2008-03-03","нб"
"13221","2008-03-04","нб"
"13221","2008-03-05","нб"
"13221","2008-03-06","нб"
"13221","2008-03-07","нб"
"13221","2008-03-08","нб"
"13221","2008-03-09","нб"
"13221","2008-03-10","нб"
"13221","2008-03-11","нб"
"13221","2008-03-12","нб"
"13221","2008-03-13","нб"
"13221","2008-03-14","нб"
"13221","2008-03-15","нб"
"13221","2008-03-16","нб"
"13221","2008-03-17","нб"
"13221","2008-03-18","нб"
"13221","2008-03-19","нб"
"13221","2008-03-20","нб"
"13221","2008-03-21","нб"
"13221","2008-03-22","нб"
"13221","2008-03-23","нб"
"13221","2008-03-24","нб"
"13221","2008-03-25","нб"
"13221","2008-03-26","нб"
"13221","2008-03-27","нб"
"13221","2008-03-28","нб"
"13221","2008-03-29","нб"
"13221","2008-03-30","нб"
"13221","2008-03-31","нб"
"13221","2008-04-01","нб"
"13221","2008-04-02","15.8"
"13221","2008-04-03","13.5"
"13221","2008-04-04","11.7"
"13221","2008-04-05","10.5"
"13221","2008-04-06","9.36"
"13221","2008-04-07","8.79"
"13221","2008-04-08","6.74"
"13221","2008-04-09","5.85"
"13221","2008-04-10","5.37"
"13221","2008-04-11","4.79"
"13221","2008-04-12","4.46"
"13221","2008-04-13","4.01"
"13221","2008-04-14","4.01"
"13221","2008-04-15","3.57"
"13221","2008-04-16","3.35"
"13221","2008-04-17","3.25"
"13221","2008-04-18","3.14"
"13221","2008-04-19","3.03"
"13221","2008-04-20","2.92"
"13221","2008-04-21","2.82"
"13221","2008-04-22","2.71"
"13221","2008-04-23","2.5"
"13221","2008-04-24","2.29"
"13221","2008-04-25","2.19"
"13221","2008-04-26","1.98"
"13221","2008-04-27","1.98"
"13221","2008-04-28","1.98"
"13221","2008-04-29","1.89"
"13221","2008-04-30","1.8"
"13221","2008-05-01","1.8"
"13221","2008-05-02","1.7"
"13221","2008-05-03","1.61"
"13221","2008-05-04","1.52"
"13221","2008-05-05","1.52"
"13221","2008-05-06","1.36"
"13221","2008-05-07","1.36"
"13221","2008-05-08","1.29"
"13221","2008-05-09","1.21"
"13221","2008-05-10","1.07"
"13221","2008-05-11","1.01"
"13221","2008-05-12","1.01"
"13221","2008-05-13","0.88"
"13221","2008-05-14","0.82"
"13221","2008-05-15","0.82"
"13221","2008-05-16","0.82"
"13221","2008-05-17","0.77"
"13221","2008-05-18","0.77"
"13221","2008-05-19","0.77"
"13221","2008-05-20","0.77"
"13221","2008-05-21","0.72"
"13221","2008-05-22","0.72"
"13221","2008-05-23","0.67"
"13221","2008-05-24","0.67"
"13221","2008-05-25","0.67"
"13221","2008-05-26","0.62"
"13221","2008-05-27","0.57"
"13221","2008-05-28","0.54"
"13221","2008-05-29","0.54"
"13221","2008-05-30","0.51"
"13221","2008-05-31","0.51"
"13221","2008-06-01","0.47"
"13221","2008-06-02","0.44"
"13221","2008-06-03","0.41"
"13221","2008-06-04","0.39"
"13221","2008-06-05","0.39"
"13221","2008-06-06","0.37"
"13221","2008-06-07","0.32"
"13221","2008-06-08","0.32"
"13221","2008-06-09","0.3"
"13221","2008-06-10","0.28"
"13221","2008-06-11","0.27"
"13221","2008-06-12","0.25"
"13221","2008-06-13","0.24"
"13221","2008-06-14","0.22"
"13221","2008-06-15","0.21"
"13221","2008-06-16","0.2"
"13221","2008-06-17","0.19"
"13221","2008-06-18","0.18"
"13221","2008-06-19","0.18"
"13221","2008-06-20","0.17"
"13221","2008-06-21","0.16"
"13221","2008-06-22","0.16"
"13221","2008-06-23","0.16"
"13221","2008-06-24","0.15"
"13221","2008-06-25","0.15"
"13221","2008-06-26","0.15"
"13221","2008-06-27","0.15"
"13221","2008-06-28","0.16"
"13221","2008-06-29","0.22"
"13221","2008-06-30","0.2"
"13221","2008-07-01","0.18"
"13221","2008-07-02","0.16"
"13221","2008-07-03","0.16"
"13221","2008-07-04","0.16"
"13221","2008-07-05","0.16"
"13221","2008-07-06","0.16"
"13221","2008-07-07","0.16"
"13221","2008-07-08","0.15"
"13221","2008-07-09","0.15"
"13221","2008-07-10","0.15"
"13221","2008-07-11","0.15"
"13221","2008-07-12","0.16"
"13221","2008-07-13","0.16"
"13221","2008-07-14","0.16"
"13221","2008-07-15","0.15"
"13221","2008-07-16","0.15"
"13221","2008-07-17","0.15"
"13221","2008-07-18","0.13"
"13221","2008-07-19","0.1"
"13221","2008-07-20","0.073"
"13221","2008-07-21","0.073"
"13221","2008-07-22","0.073"
"13221","2008-07-23","0.072"
"13221","2008-07-24","0.072"
"13221","2008-07-25","0.072"
"13221","2008-07-26","0.072"
"13221","2008-07-27","0.071"
"13221","2008-07-28","0.071"
"13221","2008-07-29","0.071"
"13221","2008-07-30","0.07"
"13221","2008-07-31","0.07"
"13221","2008-08-01","0.071"
"13221","2008-08-02","0.072"
"13221","2008-08-03","0.073"
"13221","2008-08-04","0.074"
"13221","2008-08-05","0.076"
"13221","2008-08-06","0.077"
"13221","2008-08-07","0.078"
"13221","2008-08-08","0.079"
"13221","2008-08-09","0.08"
"13221","2008-08-10","0.081"
"13221","2008-08-11","0.079"
"13221","2008-08-12","0.076"
"13221","2008-08-13","0.074"
"13221","2008-08-14","0.071"
"13221","2008-08-15","0.069"
"13221","2008-08-16","0.067"
"13221","2008-08-17","0.064"
"13221","2008-08-18","0.062"
"13221","2008-08-19","0.059"
"13221","2008-08-20","0.057"
"13221","2008-08-21","0.059"
"13221","2008-08-22","0.062"
"13221","2008-08-23","0.064"
"13221","2008-08-24","0.067"
"13221","2008-08-25","0.069"
"13221","2008-08-26","0.072"
"13221","2008-08-27","0.074"
"13221","2008-08-28","0.077"
"13221","2008-08-29","0.079"
"13221","2008-08-30","0.082"
"13221","2008-08-31","0.084"
"13221","2008-09-01","0.083"
"13221","2008-09-02","0.081"
"13221","2008-09-03","0.08"
"13221","2008-09-04","0.078"
"13221","2008-09-05","0.077"
"13221","2008-09-06","0.075"
"13221","2008-09-07","0.074"
"13221","2008-09-08","0.072"
"13221","2008-09-09","0.071"
"13221","2008-09-10","0.069"
"13221","2008-09-11","0.068"
"13221","2008-09-12","0.066"
"13221","2008-09-13","0.065"
"13221","2008-09-14","0.064"
"13221","2008-09-15","0.063"
"13221","2008-09-16","0.061"
"13221","2008-09-17","0.06"
"13221","2008-09-18","0.059"
"13221","2008-09-19","0.057"
"13221","2008-09-20","0.056"
"13221","2008-09-21","0.057"
"13221","2008-09-22","0.059"
"13221","2008-09-23","0.06"
"13221","2008-09-24","0.062"
"13221","2008-09-25","0.063"
"13221","2008-09-26","0.064"
"13221","2008-09-27","0.066"
"13221","2008-09-28","0.067"
"13221","2008-09-29","0.069"
"13221","2008-09-30","0.07"
"13221","2008-10-01","0.069"
"13221","2008-10-02","0.068"
"13221","2008-10-03","0.068"
"13221","2008-10-04","0.067"
"13221","2008-10-05","0.066"
"13221","2008-10-06","0.065"
"13221","2008-10-07","0.064"
"13221","2008-10-08","0.064"
"13221","2008-10-09","0.063"
"13221","2008-10-10","0.062"
"13221","2008-10-11","0.065"
"13221","2008-10-12","0.068"
"13221","2008-10-13","0.071"
"13221","2008-10-14","0.074"
"13221","2008-10-15","0.077"
"13221","2008-10-16","0.08"
"13221","2008-10-17","0.083"
"13221","2008-10-18","0.086"
"13221","2008-10-19","0.089"
"13221","2008-10-20","0.092"
"13221","2008-10-21","0.093"
"13221","2008-10-22","0.093"
"13221","2008-10-23","0.094"
"13221","2008-10-24","0.095"
"13221","2008-10-25","0.096"
"13221","2008-10-26","0.096"
"13221","2008-10-27","0.097"
"13221","2008-10-28","0.098"
"13221","2008-10-29","0.098"
"13221","2008-10-30","0.099"
"13221","2008-10-31","0.1"
"13221","2008-11-01","0.095"
"13221","2008-11-02","0.092"
"13221","2008-11-03","0.086"
"13221","2008-11-04","0.081"
"13221","2008-11-05","0.076"
"13221","2008-11-06","0.071"
"13221","2008-11-07","0.066"
"13221","2008-11-08","0.062"
"13221","2008-11-09","0.057"
"13221","2008-11-10","0.052"
"13221","2008-11-11","0.054"
"13221","2008-11-12","0.055"
"13221","2008-11-13","0.057"
"13221","2008-11-14","0.058"
"13221","2008-11-15","0.06"
"13221","2008-11-16","0.061"
"13221","2008-11-17","0.063"
"13221","2008-11-18","0.064"
"13221","2008-11-19","0.066"
"13221","2008-11-20","0.067"
"13221","2008-11-21","0.062"
"13221","2008-11-22","0.058"
"13221","2008-11-23","0.053"
"13221","2008-11-24","0.049"
"13221","2008-11-25","0.044"
"13221","2008-11-26","0.039"
"13221","2008-11-27","0.035"
"13221","2008-11-28","0.03"
"13221","2008-11-29","0.056"
"13221","2008-11-30","0.021"
"13221","2008-12-01","нб"
"13221","2008-12-02","нб"
"13221","2008-12-03","нб"
"13221","2008-12-04","нб"
"13221","2008-12-05","нб"
"13221","2008-12-06","нб"
"13221","2008-12-07","нб"
"13221","2008-12-08","нб"
"13221","2008-12-09","нб"
"13221","2008-12-10","нб"
"13221","2008-12-11","нб"
"13221","2008-12-12","нб"
"13221","2008-12-13","нб"
"13221","2008-12-14","нб"
"13221","2008-12-15","нб"
"13221","2008-12-16","нб"
"13221","2008-12-17","нб"
"13221","2008-12-18","нб"
"13221","2008-12-19","нб"
"13221","2008-12-20","нб"
"13221","2008-12-21","нб"
"13221","2008-12-22","нб"
"13221","2008-12-23","нб"
"13221","2008-12-24","нб"
"13221","2008-12-25","нб"
"13221","2008-12-26","нб"
"13221","2008-12-27","нб"
"13221","2008-12-28","нб"
"13221","2008-12-29","нб"
"13221","2008-12-30","нб"
"13221","2008-12-31","нб"
"13221","2009-01-01","нб"
"13221","2009-01-02","нб"
"13221","2009-01-03","нб"
"13221","2009-01-04","нб"
"13221","2009-01-05","нб"
"13221","2009-01-06","нб"
"13221","2009-01-07","нб"
"13221","2009-01-08","нб"
"13221","2009-01-09","нб"
"13221","2009-01-10","нб"
"13221","2009-01-11","нб"
"13221","2009-01-12","нб"
"13221","2009-01-13","нб"
"13221","2009-01-14","нб"
"13221","2009-01-15","нб"
"13221","2009-01-16","нб"
"13221","2009-01-17","нб"
"13221","2009-01-18","нб"
"13221","2009-01-19","нб"
"13221","2009-01-20","нб"
"13221","2009-01-21","нб"
"13221","2009-01-22","нб"
"13221","2009-01-23","нб"
"13221","2009-01-24","нб"
"13221","2009-01-25","нб"
"13221","2009-01-26","нб"
"13221","2009-01-27","нб"
"13221","2009-01-28","нб"
"13221","2009-01-29","нб"
"13221","2009-01-30","нб"
"13221","2009-01-31","нб"
"13221","2009-02-01","нб"
"13221","2009-02-02","нб"
"13221","2009-02-03","нб"
"13221","2009-02-04","нб"
"13221","2009-02-05","нб"
"13221","2009-02-06","нб"
"13221","2009-02-07","нб"
"13221","2009-02-08","нб"
"13221","2009-02-09","нб"
"13221","2009-02-10","нб"
"13221","2009-02-11","нб"
"13221","2009-02-12","нб"
"13221","2009-02-13","нб"
"13221","2009-02-14","нб"
"13221","2009-02-15","нб"
"13221","2009-02-16","нб"
"13221","2009-02-17","нб"
"13221","2009-02-18","нб"
"13221","2009-02-19","нб"
"13221","2009-02-20","нб"
"13221","2009-02-21","нб"
"13221","2009-02-22","нб"
"13221","2009-02-23","нб"
"13221","2009-02-24","нб"
"13221","2009-02-25","нб"
"13221","2009-02-26","нб"
"13221","2009-02-27","нб"
"13221","2009-02-28","нб"
"13221","2009-03-01","нб"
"13221","2009-03-02","нб"
"13221","2009-03-03","нб"
"13221","2009-03-04","нб"
"13221","2009-03-05","нб"
"13221","2009-03-06","нб"
"13221","2009-03-07","нб"
"13221","2009-03-08","нб"
"13221","2009-03-09","нб"
"13221","2009-03-10","нб"
"13221","2009-03-11","нб"
"13221","2009-03-12","нб"
"13221","2009-03-13","нб"
"13221","2009-03-14","нб"
"13221","2009-03-15","нб"
"13221","2009-03-16","нб"
"13221","2009-03-17","нб"
"13221","2009-03-18","нб"
"13221","2009-03-19","нб"
"13221","2009-03-20","нб"
"13221","2009-03-21","нб"
"13221","2009-03-22","нб"
"13221","2009-03-23","нб"
"13221","2009-03-24","нб"
"13221","2009-03-25","нб"
"13221","2009-03-26","нб"
"13221","2009-03-27","нб"
"13221","2009-03-28","нб"
"13221","2009-03-29","нб"
"13221","2009-03-30","нб"
"13221","2009-03-31","нб"
"13221","2009-04-01","нб"
"13221","2009-04-02","15.8"
"13221","2009-04-03","13.5"
"13221","2009-04-04","11.7"
"13221","2009-04-05","10.5"
"13221","2009-04-06","9.36"
"13221","2009-04-07","8.79"
"13221","2009-04-08","6.74"
"13221","2009-04-09","5.85"
"13221","2009-04-10","5.37"
"13221","2009-04-11","4.79"
"13221","2009-04-12","4.46"
"13221","2009-04-13","4.01"
"13221","2009-04-14","4.01"
"13221","2009-04-15","3.57"
"13221","2009-04-16","3.35"
"13221","2009-04-17","3.25"
"13221","2009-04-18","3.14"
"13221","2009-04-19","3.03"
"13221","2009-04-20","2.92"
"13221","2009-04-21","2.82"
"13221","2009-04-22","2.71"
"13221","2009-04-23","2.5"
"13221","2009-04-24","2.29"
"13221","2009-04-25","2.19"
"13221","2009-04-26","1.98"
"13221","2009-04-27","1.98"
"13221","2009-04-28","1.98"
"13221","2009-04-29","1.89"
"13221","2009-04-30","1.8"
"13221","2009-05-01","1.8"
"13221","2009-05-02","1.7"
"13221","2009-05-03","1.61"
"13221","2009-05-04","1.52"
"13221","2009-05-05","1.52"
"13221","2009-05-06","1.36"
"13221","2009-05-07","1.36"
"13221","2009-05-08","1.29"
"13221","2009-05-09","1.21"
"13221","2009-05-10","1.07"
"13221","2009-05-11","1.01"
"13221","2009-05-12","1.01"
"13221","2009-05-13","0.88"
"13221","2009-05-14","0.82"
"13221","2009-05-15","0.82"
"13221","2009-05-16","0.82"
"13221","2009-05-17","0.77"
"13221","2009-05-18","0.77"
"13221","2009-05-19","0.77"
"13221","2009-05-20","0.77"
"13221","2009-05-21","0.72"
"13221","2009-05-22","0.72"
"13221","2009-05-23","0.67"
"13221","2009-05-24","0.67"
"13221","2009-05-25","0.67"
"13221","2009-05-26","0.62"
"13221","2009-05-27","0.57"
"13221","2009-05-28","0.54"
"13221","2009-05-29","0.54"
"13221","2009-05-30","0.51"
"13221","2009-05-31","0.51"
"13221","2009-06-01","0.47"
"13221","2009-06-02","0.44"
"13221","2009-06-03","0.41"
"13221","2009-06-04","0.39"
"13221","2009-06-05","0.39"
"13221","2009-06-06","0.37"
"13221","2009-06-07","0.32"
"13221","2009-06-08","0.32"
"13221","2009-06-09","0.3"
"13221","2009-06-10","0.28"
"13221","2009-06-11","0.27"
"13221","2009-06-12","0.25"
"13221","2009-06-13","0.24"
"13221","2009-06-14","0.22"
"13221","2009-06-15","0.21"
"13221","2009-06-16","0.2"
"13221","2009-06-17","0.19"
"13221","2009-06-18","0.18"
"13221","2009-06-19","0.18"
"13221","2009-06-20","0.17"
"13221","2009-06-21","0.16"
"13221","2009-06-22","0.16"
"13221","2009-06-23","0.16"
"13221","2009-06-24","0.15"
"13221","2009-06-25","0.15"
"13221","2009-06-26","0.15"
"13221","2009-06-27","0.15"
"13221","2009-06-28","0.16"
"13221","2009-06-29","0.22"
"13221","2009-06-30","0.2"
"13221","2009-07-01","0.18"
"13221","2009-07-02","0.16"
"13221","2009-07-03","0.16"
